HKKOOD	SAP_HKKOOD	NIMETUS	HIND	HULK	ALATES_KUUP	KUNI_KUUP	PA_HM	HKLIIK	AMB_STATS	HAMB_TUNNUS			
2000	000000000000002000	Üld-, Sisehaigused 	15,98		1.02.1999	31.12.2000		VOODIPÄEVAD	13				
2001	000000000000002001	Sisehaigused	21,09	10	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	21,92	10	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	23,65	10	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	25,18	10	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	34,45	10	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	37,90	10	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	38,79	10	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	47,29	10	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	54,52	8	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	57,14	8	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	57,14	8	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	64,59	8	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	68,92	8	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	73,99	8	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2001	000000000000002001	Sisehaigused	78,97	8	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	23,97	10	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	24,93	10	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	26,91	10	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	28,70	10	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	38,09	10	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	41,93	10	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	42,05	10	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	50,62	10	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	58,03	8	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	60,78	8	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	60,78	8	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	68,84	8	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	73,26	8	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
